Protein_IDs,log2FC,AveExpr,t,P,adj.P,B,Majority,Protein,Gene,direction,tier2
Q86UP2,-0.3642994382239557,24.909617371035793,-1.704047251664127,0.0937638637651918,0.47085868830662286,-4.655532640470405,Q86UP2,Kinectin,KTN1,n.s.,n.s.
P22087,-0.36018099272954274,22.1225103972064,-1.702321024082908,0.0940888947013905,0.47085868830662286,-4.658204087658239,P22087,rRNA 2-O-methyltransferase fibrillarin,FBL,n.s.,n.s.
Q08J23,0.3439703742727893,21.65466416735367,1.7022356354956574,0.09410499652903448,0.47085868830662286,-4.658336168815062,Q08J23,tRNA (cytosine(34)-C(5))-methyltransferase,NSUN2,n.s.,n.s.
P30519,-0.2786679341571414,20.383785390600387,-1.6972515723423618,0.09503827943211078,0.4710124460935967,-4.666013359122905,P30519,Heme oxygenase 2,HMOX2,n.s.,n.s.
Q07065,0.38255108291972917,25.441434407070133,1.696111757338232,0.09526570859176725,0.4710124460935967,-4.667793209358969,Q07065,Cytoskeleton-associated protein 4,CKAP4,n.s.,n.s.
Q16832,-0.308941196543973,22.93666536951152,-1.6954417754684177,0.09539340717559185,0.4710124460935967,-4.668825996196926,Q16832,Discoidin domain-containing receptor 2,DDR2,n.s.,n.s.
P26641,0.2887960012678583,25.072186513029393,1.693300001911589,0.09580257323419868,0.4710124460935967,-4.672125110387276,P26641,Elongation factor 1-gamma,EEF1G,n.s.,n.s.
O15143,0.304124131828587,21.660135632659916,1.6875316476068936,0.09690121578338477,0.4710124460935967,-4.680970830366969,O15143,Actin-related protein 2/3 complex subunit 1B,ARPC1B,n.s.,n.s.
P62714;P67775,-0.32308954212457053,21.293995454600473,-1.686018700384295,0.09720439282951558,0.4710124460935967,-4.683312919522534,P62714,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,PPP2CB,n.s.,n.s.
P48643,0.2530971140924976,24.40712875332419,1.6831158081564115,0.09776793907341472,0.4710124460935967,-4.687761150707745,P48643,T-complex protein 1 subunit epsilon,CCT5,n.s.,n.s.
Q16718,-0.30118766217900017,20.77607853679741,-1.6828215063077336,0.09782064255565644,0.4710124460935967,-4.688202808026475,Q16718,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,NDUFA5,n.s.,n.s.
